"","StudyID","ExperimentID","GroupID","EffectID","Year","Author","Journal","Species","Native","Region","Lat","Long","MaintainCond","RearingCond","HabitatComplexity","FemaleStatus","Temp","Photoperiod","Blind","MorphType","MorphVarType","S_Mean","S_Var","S_N","L_Mean","L_Var","L_N","S_Range_low","S_Range_high","L_Range_low","L_Range_high","T_Mean","T_Var","T_Range_low","T_Range_high","T_N","F_Mean","F_Var","F_Range_low","F_Range_high","ExpTank_L","ExpTank_W","ExpTank_D","ExpTank_V","Tank_F_N","Tank_M_N","ExpType","ExpInteraction","ExpVar","ExpVarUnit","ExpVarSMean","ExpVarSVar","ExpVarLMean","ExpVarLVar","ExpVarType","TestStatType","TestStatValue","TestStatdf","TestStatp","TestDirection","DataLocation","DataSource","Publication","DataReporting","Raw","Notes","Quotes","X68","ES","ESVar","Tank_T_N","Tank_density","Tank_ratio","HabitatComplexity.B","Tank_density.C","Tank_ratio.C","Year.C","T_N.C","Temp.C","Photoperiod.C","HabitatComplexity.B.C"
"1","GAM01","EX01","GR01","ES1",2018,"Chen","PLOS_One","affinis","introduced","Baoding,Ankang,Hangzhou,Chaozhou,Beihai,China","38.87; 32.72; 30.27; 23.65; 21.48","115.47;108.80; 120.15; 116.62; 109.11","mixed-sex","wild","no","N/R","25","12","No","SL","SD","19.440000000000001","N/A","14","25.16","N/A","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14","30.8571428571429","4.8493797043007003","24","39","60","30","25","45000","1","2","Female choice","no","association time","sec","141.42857142857099","103.630790112498","221.42857142857099","84.399885422556494","SD","Biserial correlation",0.504019587304423,NA,NA,"N/A","Supplementary data","Supplementary","Published","Complete","yes (https://doi.org/10.1371/journal.pone.0197197.s003)","Animated males",NA,NA,0.504019587304423,0.0370459676020225,3,0.0666666666666667,2,0,-0.790339478613252,0.350235849056604,6.49425287356325,-21.0833333333333,-1.2765034965035,-1.80384615384615,-0.10188679245283
"2","GAM01","EX02","GR02","ES2",2018,"Chen","PLOS_One","affinis","introduced","Baoding,Ankang,Hangzhou,Chaozhou,Beihai,China","38.87; 32.72; 30.27; 23.65; 21.48","115.47;108.80; 120.15; 116.62; 109.11","mixed-sex","wild","no","N/R","25","12","No","SL","SD","19.440000000000001","N/A","14","25.16","N/A","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14","27.214285714285701","2.4862257904942302","23","30","60","30","25","45000","1","2","Female choice","no","association time","sec","152.28571428571399","72.585682601194307","175.07142857142901","78.949316054634096","SD","Biserial correlation",0.19306539875417,NA,NA,"N/A","Supplementary data","Supplementary","Published","Complete","yes (https://doi.org/10.1371/journal.pone.0197197.s003)","Animated males",NA,NA,0.19306539875417,0.0547777805882672,3,0.0666666666666667,2,0,-0.790339478613252,0.350235849056604,6.49425287356325,-21.0833333333333,-1.2765034965035,-1.80384615384615,-0.10188679245283
"3","GAM01","EX03","GR03","ES3",2018,"Chen","PLOS_One","affinis","introduced","Baoding,Ankang,Hangzhou,Chaozhou,Beihai,China","38.87; 32.72; 30.27; 23.65; 21.48","115.47;108.80; 120.15; 116.62; 109.11","mixed-sex","wild","no","N/R","25","12","No","SL","SD","19.440000000000001","N/A","12","25.16","N/A","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12","31.4166666666667","5.9765957676336896","24","43","60","30","25","45000","1","2","Female choice","no","association time","sec","117.916666666667","67.431390496136302","169.833333333333","76.360191119972896","SD","Biserial correlation",0.441491612918618,NA,NA,"N/A","Supplementary data","Supplementary","Published","Complete","yes (https://doi.org/10.1371/journal.pone.0197197.s003)","Animated males",NA,NA,0.441491612918618,0.0487609135922133,3,0.0666666666666667,2,0,-0.790339478613252,0.350235849056604,6.49425287356325,-23.0833333333333,-1.2765034965035,-1.80384615384615,-0.10188679245283
"4","GAM04","EX04","GR04","ES4",1991,"Bisazza","Copeia","holbrooki","introduced","Lake_Fimon,Vincenza,Italy","45.47","11.542999999999999","same-sex","wild","no","non-deprived","24","16","No","N/R","N/R","N/R","N/R","10","N/R","N/R","10","N/R","N/R","N/R","N/R","N/A","N/A","N/A","N/A","10","N/R","N/R","N/R","N/R","20","36","20","14400","1","2","Female choice","no","association time","sec","117.6","56.3","167.1","74","SD","Biserial correlation",0.462251401936319,NA,NA,"N/A","Table 1, p733","Paper","Published","Incomplete","no",NA,NA,NA,0.462251401936319,0.0569612113966233,3,0.208333333333333,2,0,-0.648672811946586,0.350235849056604,-20.5057471264367,-25.0833333333333,-2.2765034965035,2.19615384615385,-0.10188679245283
"5","GAM04","EX05","GR05","ES5",1991,"Bisazza","Copeia","holbrooki","introduced","Lake_Fimon,Vincenza,Italy","45.47","11.542999999999999","same-sex","wild","no","male-deprived","24","16","No","N/R","N/R","N/R","N/R","10","N/R","N/R","10","N/R","N/R","N/R","N/R","N/A","N/A","N/A","N/A","10","N/R","N/R","N/R","N/R","20","36","20","14400","1","2","Female choice","no","association time","sec","164.6","100","203.5","128.4","SD","Biserial correlation",0.219824180910437,NA,NA,"N/A","Table 1, p733","Paper","Published","Incomplete","no",NA,NA,NA,0.219824180910437,0.0764381437367388,3,0.208333333333333,2,0,-0.648672811946586,0.350235849056604,-20.5057471264367,-25.0833333333333,-2.2765034965035,2.19615384615385,-0.10188679245283
"6","GAM04","EX06","GR06","ES6",1991,"Bisazza","Copeia","holbrooki","introduced","Lake_Fimon,Vincenza,Italy","45.47","11.542999999999999","same-sex","wild","no","male-deprived","24","16","No","N/R","N/R","N/R","N/R","10","N/R","N/R","10","N/R","N/R","N/R","N/R","N/A","N/A","N/A","N/A","10","N/R","N/R","N/R","N/R","20","36","20","14400","1","2","Female choice","no","association time","sec","184.9","100.2","197.5","102.5","SD","Biserial correlation",0.0819402644796941,NA,NA,"N/A","Table 1, p733","Paper","Published","Incomplete","no",NA,NA,NA,0.0819402644796941,0.0817924152638034,3,0.208333333333333,2,0,-0.648672811946586,0.350235849056604,-20.5057471264367,-25.0833333333333,-2.2765034965035,2.19615384615385,-0.10188679245283
"7","GAM04","EX07","GR07","ES7",1991,"Bisazza","Copeia","holbrooki","introduced","Lake_Fimon,Vincenza,Italy","45.47","11.542999999999999","same-sex","wild","no","virgin","24","16","No","N/R","N/R","N/R","N/R","10","N/R","N/R","10","N/R","N/R","N/R","N/R","N/A","N/A","N/A","N/A","10","N/R","N/R","N/R","N/R","20","36","20","14400","1","2","Female choice","no","association time","sec","216","124.9","203.6","110.4","SD","Biserial correlation",-0.0693823331582633,NA,NA,"N/A","Table 1, p733","Paper","Published","Incomplete","no",NA,"""On the whole, females spent more time with the larger male in 21 out of 40 replicates (Wilcoxon test; n = 40; Z = 1.18; P = 0.24).""",NA,-0.0693823331582633,0.0820413015852845,3,0.208333333333333,2,0,-0.648672811946586,0.350235849056604,-20.5057471264367,-25.0833333333333,-2.2765034965035,2.19615384615385,-0.10188679245283
"8","GAM04","EX08","GR08","ES8",1991,"Bisazza","Copeia","holbrooki","introduced","Lake_Fimon,Vincenza,Italy","45.47","11.542999999999999","same-sex","wild","no","non-deprived","24","16","No","N/R","N/R","N/R","N/R","12","N/R","N/R","12","N/R","N/R","N/R","N/R","N/A","N/A","N/A","N/A","12","N/R","N/R","N/R","N/R","24.4","36","20","17568","2","2","Female choice","no","association time","sec","73.3","70.3","115","105.5","SD","Biserial correlation",0.295859124007388,NA,NA,"N/A","Table 2, p733","Paper","Published","Incomplete","no","Focal female choosing between another female, small male, and large male",NA,NA,0.295859124007388,0.0591142058014443,4,0.227686703096539,1,0,-0.62931944218338,-0.649764150943396,-20.5057471264367,-23.0833333333333,-2.2765034965035,2.19615384615385,-0.10188679245283
"9","GAM04","EX09","GR09","ES9",1991,"Bisazza","Copeia","holbrooki","introduced","Lake_Fimon,Vincenza,Italy","45.47","11.542999999999999","same-sex","wild","no","male-deprived","24","16","No","N/R","N/R","N/R","N/R","12","N/R","N/R","12","N/R","N/R","N/R","N/R","N/A","N/A","N/A","N/A","12","N/R","N/R","N/R","N/R","24.4","36","20","17568","2","2","Female choice","no","association time","sec","109.6","147.5","171.8","234","SD","Biserial correlation",0.205331749924667,NA,NA,"N/A","Table 2, p733","Paper","Published","Incomplete","no","Focal female choosing between another female, small male, and large male",NA,NA,0.205331749924667,0.0637900464631061,4,0.227686703096539,1,0,-0.62931944218338,-0.649764150943396,-20.5057471264367,-23.0833333333333,-2.2765034965035,2.19615384615385,-0.10188679245283
"10","GAM04","EX10","GR10","ES10",1991,"Bisazza","Copeia","holbrooki","introduced","Lake_Fimon,Vincenza,Italy","45.47","11.542999999999999","same-sex","wild","no","male-deprived","24","16","No","N/R","N/R","N/R","N/R","12","N/R","N/R","12","N/R","N/R","N/R","N/R","N/A","N/A","N/A","N/A","12","N/R","N/R","N/R","N/R","24.4","36","20","17568","2","2","Female choice","no","association time","sec","74.5","56.7","107.1","97.6","SD","Biserial correlation",0.261456359928518,NA,NA,"N/A","Table 2, p733","Paper","Published","Incomplete","no","Focal female choosing between another female, small male, and large male",NA,NA,0.261456359928518,0.0610682942540789,4,0.227686703096539,1,0,-0.62931944218338,-0.649764150943396,-20.5057471264367,-23.0833333333333,-2.2765034965035,2.19615384615385,-0.10188679245283
